fuel,coolant,year,watt
19373.92,3.57,5.00,20647.19
12966.06,2.99,5.00,13849.27
4310.34,3.30,7.00,3326.58
17088.15,4.34,3.00,28865.14
19419.65,3.63,3.00,34807.10
24558.69,3.03,3.00,41620.87
20671.06,3.35,10.00,9964.15
4315.24,3.71,9.00,2585.14
9340.44,3.24,9.00,5304.80
21883.28,4.04,7.00,16700.67
11071.31,3.66,8.00,7250.82
2312.01,4.77,5.00,2570.22
15448.68,4.69,2.00,36979.19
11550.56,3.85,4.00,14302.05
6251.87,4.27,8.00,4002.71
24760.59,4.68,9.00,13408.80
4310.12,3.07,3.00,6546.11
3797.21,3.45,1.00,15559.88
18672.01,4.24,8.00,11931.44
7758.51,3.50,6.00,6159.79
9202.93,3.29,7.00,6384.86
30901.25,3.93,2.00,70154.91
4240.32,3.21,4.00,4618.01
16685.38,3.24,3.00,23643.71
27930.01,3.13,9.00,13760.84
3686.27,4.11,8.00,1931.24
15931.29,3.65,2.00,32721.20
14324.22,4.14,5.00,11266.70
7509.05,2.73,2.00,15977.72
15627.88,5.04,2.00,33178.82
29988.69,4.72,5.00,25579.64
12576.45,4.82,6.00,8925.99
6655.41,4.16,10.00,2988.63
28469.58,5.12,7.00,17289.85
21410.10,4.80,5.00,17849.35
17218.25,4.53,5.00,14082.13
19945.79,3.24,6.00,14309.80
841.69,3.47,7.00,444.90
36364.30,3.64,2.00,74411.36
30745.82,4.60,10.00,11945.08
5621.90,4.14,5.00,4204.38
13900.85,4.26,9.00,5841.82
5905.58,3.23,5.00,4209.94
11937.27,4.83,4.00,10990.93
12109.58,3.77,8.00,5515.99
4516.07,3.28,6.00,2802.83
20676.55,3.49,8.00,11527.12
26125.45,3.42,3.00,28432.35
31560.80,3.40,2.00,58092.73
31106.87,5.08,5.00,23144.38
16744.60,4.17,5.00,12520.71
28850.85,3.67,6.00,17747.33
17566.57,3.70,4.00,16241.02
26642.92,3.13,4.00,26559.89
31546.85,3.42,7.00,16864.56
14004.33,4.10,7.00,7836.88
2242.33,4.96,11.00,781.37
14153.23,4.73,10.00,5185.78
29852.05,4.59,10.00,11561.36
22338.80,4.31,1.00,71292.91
25365.27,4.43,7.00,15364.35
7369.44,3.86,2.00,14880.79
10770.74,3.77,10.00,4549.42
24442.68,4.99,3.00,33510.31
28347.50,4.43,1.00,98366.97
16631.48,4.34,2.00,31248.84
15215.75,4.26,10.00,6270.69
30966.63,3.49,8.00,14997.95
4029.82,3.47,3.00,5501.96
15751.92,3.24,9.00,7275.05
4713.99,3.34,5.00,4160.91
24280.59,3.88,1.00,92148.59
11047.34,3.95,8.00,6639.22
20629.26,4.25,7.00,12907.34
9792.33,4.47,2.00,21850.33
12121.11,3.93,4.00,14116.64
8225.37,3.19,4.00,9365.11
3949.22,4.87,10.00,1942.38
4665.64,3.63,2.00,10488.21
4885.42,3.72,9.00,2633.40
9815.75,4.31,8.00,5987.70
28876.09,3.54,6.00,23382.26
7800.58,4.59,10.00,3871.45
3320.60,3.26,9.00,1728.46
11783.00,4.67,8.00,6707.83
14541.93,4.56,5.00,14809.72
448.93,3.73,10.00,234.62
7856.50,3.69,11.00,3758.24
34887.94,4.60,5.00,36106.92
18765.07,3.69,6.00,16617.45
35628.64,4.67,6.00,30280.74
39659.00,3.23,10.00,20724.55
24081.89,3.44,9.00,13616.72
21921.67,3.24,4.00,28663.06
17221.20,4.30,4.00,21837.94
4745.33,3.40,3.00,8309.76
23175.67,4.26,7.00,16829.35
7446.39,3.08,4.00,9913.37
2529.00,4.53,10.00,1439.94
1438.03,4.26,7.00,1156.28
5594.80,3.97,6.00,4986.11
2882.05,3.18,8.00,1849.09
7983.34,5.03,2.00,20809.15
1305.95,3.26,7.00,1008.33
4098.99,3.00,8.00,2870.88
3420.84,4.70,11.00,1651.99
12446.30,2.88,9.00,7473.92
20002.53,5.00,4.00,25195.68
20223.33,4.27,9.00,11803.98
2826.50,3.46,1.00,13422.20
28684.81,4.16,2.00,67239.70
32094.52,3.71,11.00,15758.36
2307.82,3.20,8.00,1447.10
2104.99,3.63,4.00,2596.92
18988.71,3.55,7.00,14024.27
18237.42,4.71,4.00,21475.02
19240.20,3.73,4.00,22886.89
15286.41,3.72,2.00,35988.40
20120.94,3.27,11.00,9537.79
27314.33,4.25,2.00,64574.44
14972.69,3.41,10.00,7085.44
2750.79,4.46,10.00,1264.43
14881.99,3.22,7.00,10414.14
8048.18,3.85,3.00,11966.84
25819.08,3.60,1.00,114227.31
10811.63,4.82,9.00,5726.28
9441.30,3.58,10.00,4081.99
33281.71,5.08,5.00,29442.92
3023.01,4.72,3.00,4306.86
26956.39,3.06,9.00,14517.00
13686.97,3.36,9.00,6686.73
8880.58,4.03,3.00,10444.48
16453.26,3.21,2.00,32948.49
14130.58,4.36,7.00,8164.89
1978.14,4.52,5.00,1577.72
13253.23,3.31,7.00,8216.43
951.92,4.49,6.00,664.60
22289.76,3.75,7.00,12011.33
24134.97,4.57,10.00,9521.63
22192.76,4.71,5.00,16230.14
18754.84,4.30,2.00,34519.83
9131.66,4.58,3.00,11571.74
1146.18,4.40,7.00,638.51
652.41,4.29,2.00,1167.44
18037.28,4.58,7.00,9879.63
9547.00,3.46,7.00,5582.56
3299.49,4.23,7.00,1934.77
27788.97,3.46,7.00,14134.61
12560.95,4.69,7.00,7523.63
15138.44,4.41,5.00,11933.34
15880.48,4.67,3.00,18290.01
30594.04,4.63,6.00,21104.76
15853.05,3.46,10.00,6230.06
17183.39,4.35,6.00,11974.87
12940.36,3.79,6.00,9085.96
4929.63,3.84,5.00,3442.79
21831.68,4.90,9.00,8879.31
15682.90,3.28,5.00,12301.01
10324.56,3.96,3.00,13940.48
4357.91,4.36,5.00,3263.63
8419.65,3.88,6.00,5628.84
15723.24,3.96,11.00,5830.31
4516.09,4.94,6.00,3192.64
30566.86,3.21,4.00,32672.68
12533.16,5.02,4.00,13701.07
17252.60,4.40,2.00,33286.63
9375.32,4.34,2.00,18983.35
25644.14,3.53,2.00,51838.96
20033.27,3.66,2.00,42160.43
2685.43,4.67,4.00,2875.96
15902.53,4.38,2.00,34886.25
5472.55,3.73,7.00,3364.71
24021.79,2.89,1.00,104345.08
24334.14,3.74,3.00,36285.69
10170.24,4.61,2.00,24155.69
4330.69,3.57,6.00,3446.06
25675.39,4.87,8.00,14464.97
10283.71,3.08,10.00,4825.83
24961.53,4.31,9.00,13362.28
21053.64,3.81,9.00,11960.43
15664.43,4.18,2.00,34722.13
1858.90,4.64,2.00,4171.99
14793.51,4.48,1.00,67440.07
16674.52,4.45,10.00,8021.25
28783.19,3.29,5.00,28227.11
22941.25,4.95,11.00,10807.79
18768.13,2.80,3.00,31560.78
10829.45,4.82,1.00,53086.53
12813.62,3.34,9.00,7191.89
25666.78,3.01,7.00,19078.89
1058.91,3.40,8.00,723.29
22131.30,2.92,10.00,10996.31
33470.79,3.81,11.00,16259.88
6746.16,4.59,7.00,4994.18
12213.05,3.92,8.00,8421.23
20187.92,2.91,8.00,13347.48
5444.87,3.22,9.00,3192.87
15928.72,3.61,6.00,13419.37
4935.91,3.68,3.00,9107.07
17705.29,2.77,8.00,11843.10
6536.66,3.60,2.00,17019.24
15131.16,4.32,8.00,9347.35
25818.65,4.70,2.00,71808.89
3320.50,4.38,2.00,8488.14
28379.94,3.75,1.00,140806.04
37412.01,2.97,5.00,37094.14
11182.33,4.12,1.00,54485.38
703.11,4.12,3.00,1209.36
19698.68,4.81,10.00,10153.08
14167.75,3.54,10.00,7438.40
11145.65,4.58,4.00,13777.49
24627.72,4.22,7.00,18882.13
13557.04,3.78,3.00,23451.59
26786.30,3.08,4.00,33270.03
16962.40,4.56,3.00,26917.63
9215.15,3.89,9.00,4817.91
25664.33,3.08,6.00,21002.10
7310.89,4.34,1.00,32571.90
23229.02,3.37,6.00,18172.12
21596.26,2.86,11.00,9369.70
27329.61,4.15,2.00,63454.18
5545.93,3.58,6.00,4341.54
17309.51,4.69,10.00,8076.79
1076.97,4.08,5.00,1027.60
32262.35,4.59,10.00,14703.85
2824.47,3.13,7.00,1837.75
1137.81,4.48,3.00,1749.17
77.49,4.78,8.00,45.53
1198.96,4.91,2.00,2523.29
15747.73,2.78,3.00,22738.91
9227.27,3.67,1.00,33187.05
823.01,4.17,8.00,422.10
18178.97,4.05,7.00,10990.85
131.41,4.59,6.00,96.12
35817.80,3.66,10.00,15437.84
10351.85,4.70,6.00,7407.86
13373.75,4.49,9.00,5779.16
13989.56,5.02,10.00,5514.64
21410.48,3.07,7.00,11986.27
10443.56,3.80,2.00,17443.23
23975.17,4.45,9.00,11124.75
13401.21,3.72,9.00,5742.87
20819.50,3.66,6.00,13651.11
24449.39,3.24,8.00,11142.07
4094.13,4.37,9.00,1727.15
3940.78,4.07,6.00,2418.80
6218.60,4.63,5.00,4469.32
33463.35,4.60,6.00,21332.66
3190.82,3.44,7.00,1566.50
17876.67,4.22,10.00,6608.59
3196.21,3.14,7.00,1824.71
19343.81,4.88,4.00,17468.56
24239.43,3.49,3.00,29461.27
15674.97,4.49,8.00,7569.86
10032.27,4.88,4.00,10214.47
7671.34,4.26,9.00,3327.97
24544.68,3.12,6.00,15528.36
37696.75,3.37,3.00,51089.74
20940.72,4.21,7.00,11082.72
32440.12,4.25,9.00,14837.13
22440.02,3.06,3.00,27772.31
24463.02,2.77,6.00,17012.38
5858.06,5.06,4.00,5438.50
6727.85,3.52,8.00,3322.16
255.99,4.54,10.00,108.55
3429.37,3.35,7.00,2136.29
19090.42,4.38,11.00,7490.76
10842.19,3.77,5.00,8806.91
20226.16,3.53,6.00,14243.96
13202.23,4.80,5.00,11333.88
15064.36,3.72,9.00,7536.83
7609.66,3.38,4.00,8133.55
35103.41,4.48,4.00,42161.51
27796.85,4.35,7.00,16700.55
23106.40,3.36,8.00,13384.40
14273.44,4.32,8.00,7938.20
16406.76,4.78,7.00,11350.88
3363.99,3.19,1.00,14336.97
9071.45,4.91,1.00,37057.62
12500.22,3.16,2.00,29023.79
4290.54,4.60,10.00,2078.66
11756.01,3.18,8.00,7358.22
9930.92,3.40,10.00,5048.90
37358.55,3.45,10.00,20159.13
4260.56,3.70,8.00,2617.89
20058.74,3.87,4.00,25850.24
14296.67,3.24,10.00,6921.01
23304.53,3.46,2.00,57148.02
27197.61,4.03,3.00,45249.36
8242.22,4.27,4.00,10732.63
11621.69,3.10,5.00,12775.43
2015.28,3.47,1.00,9559.62
4761.18,4.86,4.00,5625.78
9893.44,4.86,9.00,6171.77
6344.18,4.90,3.00,11279.68
27628.21,4.78,5.00,28077.27
26600.82,3.57,9.00,16151.96
7623.70,3.80,5.00,8180.23
24999.08,4.52,10.00,13578.84
11378.75,3.48,9.00,6770.70
6846.87,4.16,7.00,5299.05
24774.35,3.98,6.00,21152.95
22808.10,3.64,4.00,30296.27
12984.69,4.73,7.00,10251.69
19979.12,4.83,10.00,10624.96
26428.74,4.27,4.00,35060.75
16853.17,4.24,6.00,15581.40
21087.85,4.58,11.00,10327.94
32146.62,3.57,6.00,26965.25
30152.95,4.52,7.00,22029.44
7475.48,4.69,9.00,4213.65
18348.64,3.46,10.00,9934.23
5814.74,3.89,6.00,4988.03
8366.66,4.46,6.00,6824.89
10328.59,4.61,9.00,5853.07
16715.01,4.57,5.00,15356.56
30362.74,3.20,6.00,25319.53
21509.73,4.08,6.00,17777.13
508.98,4.15,10.00,240.04
13021.33,3.30,7.00,8819.24
13228.52,4.48,9.00,6914.09
7103.74,3.38,7.00,4896.64
19095.59,4.11,8.00,10373.56
21611.27,3.24,4.00,22725.26
5485.05,3.81,7.00,3642.32
28558.42,5.03,9.00,13431.81
6945.91,4.45,6.00,4866.18
1144.85,4.10,3.00,1717.36
7702.35,4.64,9.00,3843.53
18001.83,4.37,5.00,14424.69
36541.19,4.09,3.00,51196.36
5971.81,2.82,3.00,8130.64
11200.18,4.12,9.00,5294.50
26172.46,4.00,2.00,50880.89
14071.39,3.55,5.00,10967.60
29503.62,4.66,6.00,20154.87
20614.10,4.01,8.00,10555.04
12806.10,3.63,9.00,5640.17
3482.54,4.52,8.00,1756.35
16188.88,4.23,9.00,6819.65
19119.98,3.73,2.00,34766.08
7566.09,3.66,3.00,9241.01
10242.77,3.96,9.00,4393.70
18219.33,3.21,2.00,30881.48
12058.85,4.07,4.00,11394.86
22872.64,3.48,11.00,7688.10
9950.71,4.13,6.00,6553.36
20468.26,4.41,3.00,25979.52
21764.03,4.81,3.00,25101.50
515.50,4.54,7.00,270.23
14374.70,3.19,3.00,18565.00
26580.66,3.20,10.00,10096.66
35846.25,4.14,10.00,13172.65
717.85,4.52,4.00,752.82
14253.31,4.71,1.00,46217.08
5180.90,3.76,9.00,2303.90
12961.90,3.56,6.00,8638.81
7097.97,4.58,6.00,4210.25
9134.77,4.79,5.00,6601.58
16556.10,3.87,2.00,31724.38
8352.91,3.65,10.00,3556.14
21720.09,4.57,11.00,7962.92
23533.78,3.28,2.00,40624.59
20862.98,4.40,4.00,20237.05
26792.45,4.06,9.00,11719.63
4819.43,4.46,7.00,2956.68
1014.19,4.20,11.00,404.32
18748.06,4.76,9.00,9696.85
25433.81,4.11,5.00,21121.76
9899.11,4.04,11.00,3943.83
31522.63,3.16,10.00,14506.73
15612.91,2.93,4.00,16568.87
15999.76,3.50,8.00,9229.30
29849.03,4.65,2.00,63810.28
22331.75,4.38,4.00,23047.42
7567.52,4.04,10.00,3657.55
5770.42,4.57,7.00,3782.42
5199.22,3.32,2.00,11011.77
13925.24,4.74,10.00,6817.83
23973.98,4.85,3.00,36885.77
32780.77,3.83,9.00,18508.42
21139.25,4.64,6.00,17080.02
4652.86,4.38,8.00,2805.44
34908.37,3.24,5.00,31505.96
32875.00,3.38,5.00,31885.78
6225.54,4.12,10.00,3190.09
21930.59,3.72,4.00,26943.89
6566.64,4.93,2.00,16062.49
37056.39,3.05,1.00,155750.78
62.13,4.37,8.00,42.44
2156.73,3.74,2.00,5114.39
34678.06,4.35,8.00,23808.06
13071.01,3.72,5.00,13473.83
6384.82,3.23,10.00,3212.10
13185.46,3.30,1.00,59412.17
24994.17,4.48,2.00,60515.46
17925.94,3.43,9.00,10666.43
8940.20,4.19,9.00,5087.51
780.61,4.08,3.00,1307.33
26615.74,4.79,8.00,17981.57
572.84,4.88,6.00,476.21
18753.07,3.58,10.00,9499.04
2720.94,4.48,3.00,4428.55
1347.68,4.58,3.00,2167.21
5431.28,3.19,1.00,22046.57
13006.39,3.46,6.00,10555.95
18458.94,3.68,7.00,13406.29
17677.54,4.96,6.00,15181.86
14115.09,4.02,5.00,14156.15
16520.47,5.08,2.00,36487.79
10608.97,3.53,6.00,8550.35
15506.56,3.84,8.00,9749.40
30151.36,4.67,4.00,33897.66
7591.46,3.04,10.00,3478.91
24328.05,3.99,10.00,11643.08
13579.79,4.87,6.00,10913.05
1923.79,4.13,4.00,2259.18
17355.03,3.25,4.00,19500.55
23816.43,4.16,2.00,52270.86
6455.46,3.72,4.00,7510.25
14986.97,4.69,6.00,11697.61
6956.21,4.99,8.00,4028.35
6862.15,4.63,9.00,3523.37
20836.51,4.17,5.00,17946.22
4928.92,3.23,1.00,17266.72
31441.04,4.77,8.00,16331.47
3221.42,3.14,10.00,1391.77
7809.42,4.54,3.00,10388.88
22266.15,4.32,8.00,12647.54
2856.49,4.36,1.00,9889.53
24776.65,4.81,7.00,15151.20
7602.29,3.66,5.00,6034.80
1884.73,3.76,2.00,3564.74
23621.67,4.67,2.00,39866.58
2089.84,4.52,5.00,1613.86
28881.53,3.14,7.00,15627.97
22397.06,3.12,10.00,8916.23
23022.17,4.73,6.00,15415.19
19273.24,3.05,1.00,57018.27
22747.20,4.46,2.00,38272.98
12993.56,3.87,4.00,11965.65
19245.91,3.13,6.00,13132.01
19421.76,5.11,10.00,6784.88
9255.44,5.03,3.00,11510.73
5463.38,4.36,9.00,2325.64
17554.09,4.80,11.00,6056.86
17257.40,4.36,2.00,27376.78
9625.00,3.97,8.00,4324.99
14347.58,2.94,5.00,10466.68
25107.98,3.40,9.00,10867.39
22995.98,3.93,8.00,10682.09
11349.86,4.12,11.00,4124.72
22174.22,3.82,2.00,38071.13
4556.07,3.90,8.00,2029.73
22084.17,3.88,6.00,14108.16
16600.93,4.88,9.00,6506.17
1611.48,3.84,6.00,1026.07
293.32,4.44,9.00,126.00
